1,2,geno,behaviour,fitness
0,0,--fsm-config --nstates 1 --s0 3  ,"[0.008708333333333334, 0.0]",15
7,0,--fsm-config --nstates 4 --s0 1  --n0 3 --n0x0 0 --c0x0 2 --p0x0 0.11 --n0x1 0 --c0x1 1 --p0x1 0.19 --n0x2 1 --c0x2 3 --w0x2 6.54 --p0x2 2 --s1 1  --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.64 --s2 1  --n2 2 --n2x0 0 --c2x0 1 --p2x0 0.27 --n2x1 1 --c2x1 0 --p2x1 0.52 --s3 0 --rwm3 35 --n3 3 --n3x0 0 --c3x0 0 --p3x0 0.45 --n3x1 0 --c3x1 4 --w3x1 16.35 --p3x1 10 --n3x2 2 --c3x2 0 --p3x2 0.72 ,"[0.2, 0.0]",15
9,3,--fsm-config --nstates 1 --s0 0 --rwm0 53 ,"[0.24108333333333334, 0.1]",15
16,0,--fsm-config --nstates 1 --s0 4 --att0 1.27 ,"[0.416125, 0.0]",15
9,5,--fsm-config --nstates 4 --s0 1  --n0 3 --n0x0 1 --c0x0 1 --p0x0 0.55 --n0x1 0 --c0x1 2 --p0x1 0.17 --n0x2 2 --c0x2 4 --w0x2 8.46 --p0x2 2 --s1 0 --rwm1 91 --s2 4 --att2 3.5700000000000003 --n2 2 --n2x0 1 --c2x0 3 --w2x0 9.12 --p2x0 6 --n2x1 2 --c2x1 2 --p2x1 0.3 --s3 2  --n3 1 --n3x0 1 --c3x0 4 --w3x0 9.95 --p3x0 1 ,"[0.24829166666666666, 0.15]",15
3,0,--fsm-config --nstates 1 --s0 1  ,"[0.1, 0.0]",15
6,7,--fsm-config --nstates 2 --s0 0 --rwm0 43 --n0 1 --n0x0 0 --c0x0 1 --p0x0 0.94 --s1 5 --rep1 3.69 ,"[0.158875, 0.2]",15
10,15,--fsm-config --nstates 4 --s0 3  --n0 2 --n0x0 0 --c0x0 4 --w0x0 9.46 --p0x0 3 --n0x1 0 --c0x1 1 --p0x1 0.77 --s1 0 --rwm1 25 --s2 2  --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.12 --n2x1 2 --c2x1 4 --w2x1 19.65 --p2x1 7 --s3 3  --n3 3 --n3x0 0 --c3x0 5 --p3x0 0.16 --n3x1 0 --c3x1 4 --w3x1 0.56 --p3x1 10 --n3x2 1 --c3x2 3 --w3x2 16.47 --p3x2 9 ,"[0.2806666666666667, 0.4]",15
1,0,--fsm-config --nstates 1 --s0 1  ,"[0.05, 0.0]",15
8,0,--fsm-config --nstates 2 --s0 4 --att0 3.73 --s1 3  --n1 1 --n1x0 0 --c1x0 4 --w1x0 6.78 --p1x0 9 ,"[0.20604166666666668, 0.0]",15
19,0,--fsm-config --nstates 4 --s0 1  --n0 2 --n0x0 1 --c0x0 1 --p0x0 0.57 --n0x1 2 --c0x1 5 --p0x1 0.76 --s1 0 --rwm1 45 --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.36 --s2 1  --n2 1 --n2x0 0 --c2x0 0 --p2x0 0.14 --s3 4 --att3 3.97 --n3 2 --n3x0 0 --c3x0 4 --w3x0 13.1 --p3x0 1 --n3x1 0 --c3x1 4 --w3x1 8.65 --p3x1 10 ,"[0.5, 0.0]",15
7,3,--fsm-config --nstates 4 --s0 4 --att0 0.27 --s1 4 --att1 2.27 --n1 1 --n1x0 1 --c1x0 2 --p1x0 0.36 --s2 4 --att2 4.07 --n2 1 --n2x0 0 --c2x0 0 --p2x0 0.68 --s3 2  --n3 1 --n3x0 2 --c3x0 4 --w3x0 4.6 --p3x0 6 ,"[0.200375, 0.1]",15
31,1,--fsm-config --nstates 1 --s0 2  ,"[0.8054166666666667, 0.05]",15
5,0,--fsm-config --nstates 3 --s0 1  --n0 1 --n0x0 1 --c0x0 2 --p0x0 0.82 --s1 3  --s2 5 --rep2 3.49 --n2 1 --n2x0 0 --c2x0 5 --p2x0 0.25 ,"[0.15, 0.0]",15
31,7,--fsm-config --nstates 2 --s0 4 --att0 2.75 --n0 1 --n0x0 0 --c0x0 4 --w0x0 9.37 --p0x0 7 --s1 2  --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.17 ,"[0.8071666666666667, 0.2]",15
7,0,--fsm-config --nstates 4 --s0 1  --n0 1 --n0x0 2 --c0x0 2 --p0x0 0.89 --s1 0 --rwm1 30 --n1 3 --n1x0 1 --c1x0 3 --w1x0 15.69 --p1x0 2 --n1x1 0 --c1x1 5 --p1x1 0.32 --n1x2 0 --c1x2 0 --p1x2 0.58 --s2 1  --n2 2 --n2x0 0 --c2x0 0 --p2x0 0.34 --n2x1 0 --c2x1 2 --p2x1 0.07 --s3 0 --rwm3 3 ,"[0.2, 0.0]",15
0,7,--fsm-config --nstates 2 --s0 3  --n0 1 --n0x0 0 --c0x0 0 --p0x0 0.2 --s1 4 --att1 1.25 ,"[0.006541666666666667, 0.2]",15
15,9,--fsm-config --nstates 2 --s0 0 --rwm0 57 --n0 1 --n0x0 0 --c0x0 0 --p0x0 0.8 --s1 2  ,"[0.38725, 0.25]",15
0,3,--fsm-config --nstates 2 --s0 3  --s1 3  ,"[0.004333333333333333, 0.1]",15
9,0,--fsm-config --nstates 3 --s0 2  --n0 2 --n0x0 1 --c0x0 2 --p0x0 0.46 --n0x1 1 --c0x1 1 --p0x1 0.17 --s1 0 --rwm1 27 --n1 1 --n1x0 1 --c1x0 4 --w1x0 7.82 --p1x0 10 --s2 1  --n2 1 --n2x0 1 --c2x0 3 --w2x0 12.03 --p2x0 6 ,"[0.24991666666666668, 0.0]",15
9,9,--fsm-config --nstates 4 --s0 3  --n0 2 --n0x0 0 --c0x0 4 --w0x0 9.46 --p0x0 3 --n0x1 0 --c0x1 1 --p0x1 0.77 --s1 0 --rwm1 25 --s2 2  --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.12 --n2x1 2 --c2x1 4 --w2x1 19.65 --p2x1 7 --s3 3  --n3 3 --n3x0 0 --c3x0 5 --p3x0 0.16 --n3x1 0 --c3x1 4 --w3x1 0.56 --p3x1 10 --n3x2 1 --c3x2 3 --w3x2 16.47 --p3x2 9 ,"[0.24133333333333334, 0.25]",15
31,9,--fsm-config --nstates 2 --s0 4 --att0 2.75 --n0 1 --n0x0 0 --c0x0 4 --w0x0 9.37 --p0x0 7 --s1 2  --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.17 ,"[0.8057083333333334, 0.25]",15
9,0,--fsm-config --nstates 1 --s0 1  ,"[0.25, 0.0]",15
7,5,--fsm-config --nstates 2 --s0 0 --rwm0 43 --n0 1 --n0x0 0 --c0x0 1 --p0x0 0.94 --s1 5 --rep1 3.69 ,"[0.19691666666666666, 0.15]",15
11,11,--fsm-config --nstates 2 --s0 0 --rwm0 57 --n0 1 --n0x0 0 --c0x0 0 --p0x0 0.8 --s1 2  ,"[0.29975, 0.3]",15
9,0,--fsm-config --nstates 4 --s0 1  --n0 2 --n0x0 1 --c0x0 1 --p0x0 0.57 --n0x1 2 --c0x1 5 --p0x1 0.76 --s1 0 --rwm1 45 --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.36 --s2 1  --n2 1 --n2x0 0 --c2x0 0 --p2x0 0.14 --s3 4 --att3 3.97 --n3 2 --n3x0 0 --c3x0 4 --w3x0 13.1 --p3x0 1 --n3x1 0 --c3x1 4 --w3x1 8.65 --p3x1 10 ,"[0.25, 0.0]",15
0,0,--fsm-config --nstates 1 --s0 3  ,"[0.005333333333333333, 0.0]",15
7,0,--fsm-config --nstates 3 --s0 1  --n0 1 --n0x0 1 --c0x0 2 --p0x0 0.82 --s1 3  --s2 5 --rep2 3.49 --n2 1 --n2x0 0 --c2x0 5 --p2x0 0.25 ,"[0.2, 0.0]",15
31,3,--fsm-config --nstates 1 --s0 2  ,"[0.8112916666666666, 0.1]",15
13,0,--fsm-config --nstates 3 --s0 2  --n0 2 --n0x0 1 --c0x0 2 --p0x0 0.46 --n0x1 1 --c0x1 1 --p0x1 0.17 --s1 0 --rwm1 27 --n1 1 --n1x0 1 --c1x0 4 --w1x0 7.82 --p1x0 10 --s2 1  --n2 1 --n2x0 1 --c2x0 3 --w2x0 12.03 --p2x0 6 ,"[0.34991666666666665, 0.0]",15
1,1,--fsm-config --nstates 2 --s0 3  --n0 1 --n0x0 0 --c0x0 0 --p0x0 0.2 --s1 4 --att1 1.25 ,"[0.026125, 0.05]",15
13,5,--fsm-config --nstates 4 --s0 1  --n0 3 --n0x0 1 --c0x0 1 --p0x0 0.55 --n0x1 0 --c0x1 2 --p0x1 0.17 --n0x2 2 --c0x2 4 --w0x2 8.46 --p0x2 2 --s1 0 --rwm1 91 --s2 4 --att2 3.5700000000000003 --n2 2 --n2x0 1 --c2x0 3 --w2x0 9.12 --p2x0 6 --n2x1 2 --c2x1 2 --p2x1 0.3 --s3 2  --n3 1 --n3x0 1 --c3x0 4 --w3x0 9.95 --p3x0 1 ,"[0.356625, 0.15]",15
8,0,--fsm-config --nstates 2 --s0 4 --att0 3.73 --s1 3  --n1 1 --n1x0 0 --c1x0 4 --w1x0 6.78 --p1x0 9 ,"[0.215625, 0.0]",15
7,0,--fsm-config --nstates 1 --s0 1  ,"[0.2, 0.0]",15
11,0,--fsm-config --nstates 4 --s0 1  --n0 3 --n0x0 0 --c0x0 2 --p0x0 0.11 --n0x1 0 --c0x1 1 --p0x1 0.19 --n0x2 1 --c0x2 3 --w0x2 6.54 --p0x2 2 --s1 1  --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.64 --s2 1  --n2 2 --n2x0 0 --c2x0 1 --p2x0 0.27 --n2x1 1 --c2x1 0 --p2x1 0.52 --s3 0 --rwm3 35 --n3 3 --n3x0 0 --c3x0 0 --p3x0 0.45 --n3x1 0 --c3x1 4 --w3x1 16.35 --p3x1 10 --n3x2 2 --c3x2 0 --p3x2 0.72 ,"[0.3, 0.0]",15
10,5,--fsm-config --nstates 1 --s0 0 --rwm0 53 ,"[0.268125, 0.15]",15
0,7,--fsm-config --nstates 2 --s0 3  --s1 3  ,"[0.005666666666666667, 0.2]",15
12,0,--fsm-config --nstates 4 --s0 1  --n0 1 --n0x0 2 --c0x0 2 --p0x0 0.89 --s1 0 --rwm1 30 --n1 3 --n1x0 1 --c1x0 3 --w1x0 15.69 --p1x0 2 --n1x1 0 --c1x1 5 --p1x1 0.32 --n1x2 0 --c1x2 0 --p1x2 0.58 --s2 1  --n2 2 --n2x0 0 --c2x0 0 --p2x0 0.34 --n2x1 0 --c2x1 2 --p2x1 0.07 --s3 0 --rwm3 3 ,"[0.3159166666666667, 0.0]",15
17,0,--fsm-config --nstates 1 --s0 4 --att0 1.27 ,"[0.43616666666666665, 0.0]",15
9,5,--fsm-config --nstates 4 --s0 4 --att0 0.27 --s1 4 --att1 2.27 --n1 1 --n1x0 1 --c1x0 2 --p1x0 0.36 --s2 4 --att2 4.07 --n2 1 --n2x0 0 --c2x0 0 --p2x0 0.68 --s3 2  --n3 1 --n3x0 2 --c3x0 4 --w3x0 4.6 --p3x0 6 ,"[0.235625, 0.15]",15
31,3,--fsm-config --nstates 2 --s0 4 --att0 2.75 --n0 1 --n0x0 0 --c0x0 4 --w0x0 9.37 --p0x0 7 --s1 2  --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.17 ,"[0.8141666666666667, 0.1]",15
7,3,--fsm-config --nstates 4 --s0 1  --n0 3 --n0x0 1 --c0x0 1 --p0x0 0.55 --n0x1 0 --c0x1 2 --p0x1 0.17 --n0x2 2 --c0x2 4 --w0x2 8.46 --p0x2 2 --s1 0 --rwm1 91 --s2 4 --att2 3.5700000000000003 --n2 2 --n2x0 1 --c2x0 3 --w2x0 9.12 --p2x0 6 --n2x1 2 --c2x1 2 --p2x1 0.3 --s3 2  --n3 1 --n3x0 1 --c3x0 4 --w3x0 9.95 --p3x0 1 ,"[0.18333333333333332, 0.1]",15
0,5,--fsm-config --nstates 2 --s0 3  --s1 3  ,"[0.007583333333333333, 0.15]",15
8,7,--fsm-config --nstates 1 --s0 0 --rwm0 53 ,"[0.22633333333333333, 0.2]",15
10,5,--fsm-config --nstates 2 --s0 0 --rwm0 57 --n0 1 --n0x0 0 --c0x0 0 --p0x0 0.8 --s1 2  ,"[0.2655416666666667, 0.15]",15
7,11,--fsm-config --nstates 4 --s0 3  --n0 2 --n0x0 0 --c0x0 4 --w0x0 9.46 --p0x0 3 --n0x1 0 --c0x1 1 --p0x1 0.77 --s1 0 --rwm1 25 --s2 2  --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.12 --n2x1 2 --c2x1 4 --w2x1 19.65 --p2x1 7 --s3 3  --n3 3 --n3x0 0 --c3x0 5 --p3x0 0.16 --n3x1 0 --c3x1 4 --w3x1 0.56 --p3x1 10 --n3x2 1 --c3x2 3 --w3x2 16.47 --p3x2 9 ,"[0.17995833333333333, 0.3]",15
9,0,--fsm-config --nstates 4 --s0 1  --n0 3 --n0x0 0 --c0x0 2 --p0x0 0.11 --n0x1 0 --c0x1 1 --p0x1 0.19 --n0x2 1 --c0x2 3 --w0x2 6.54 --p0x2 2 --s1 1  --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.64 --s2 1  --n2 2 --n2x0 0 --c2x0 1 --p2x0 0.27 --n2x1 1 --c2x1 0 --p2x1 0.52 --s3 0 --rwm3 35 --n3 3 --n3x0 0 --c3x0 0 --p3x0 0.45 --n3x1 0 --c3x1 4 --w3x1 16.35 --p3x1 10 --n3x2 2 --c3x2 0 --p3x2 0.72 ,"[0.25, 0.0]",15
23,0,--fsm-config --nstates 1 --s0 4 --att0 1.27 ,"[0.614875, 0.0]",15
13,0,--fsm-config --nstates 4 --s0 1  --n0 2 --n0x0 1 --c0x0 1 --p0x0 0.57 --n0x1 2 --c0x1 5 --p0x1 0.76 --s1 0 --rwm1 45 --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.36 --s2 1  --n2 1 --n2x0 0 --c2x0 0 --p2x0 0.14 --s3 4 --att3 3.97 --n3 2 --n3x0 0 --c3x0 4 --w3x0 13.1 --p3x0 1 --n3x1 0 --c3x1 4 --w3x1 8.65 --p3x1 10 ,"[0.35, 0.0]",15
1,0,--fsm-config --nstates 3 --s0 2  --n0 2 --n0x0 1 --c0x0 2 --p0x0 0.46 --n0x1 1 --c0x1 1 --p0x1 0.17 --s1 0 --rwm1 27 --n1 1 --n1x0 1 --c1x0 4 --w1x0 7.82 --p1x0 10 --s2 1  --n2 1 --n2x0 1 --c2x0 3 --w2x0 12.03 --p2x0 6 ,"[0.05, 0.0]",15
7,1,--fsm-config --nstates 4 --s0 1  --n0 3 --n0x0 1 --c0x0 1 --p0x0 0.55 --n0x1 0 --c0x1 2 --p0x1 0.17 --n0x2 2 --c0x2 4 --w0x2 8.46 --p0x2 2 --s1 0 --rwm1 91 --s2 4 --att2 3.5700000000000003 --n2 2 --n2x0 1 --c2x0 3 --w2x0 9.12 --p2x0 6 --n2x1 2 --c2x1 2 --p2x1 0.3 --s3 2  --n3 1 --n3x0 1 --c3x0 4 --w3x0 9.95 --p3x0 1 ,"[0.20170833333333332, 0.05]",15
7,11,--fsm-config --nstates 4 --s0 3  --n0 2 --n0x0 0 --c0x0 4 --w0x0 9.46 --p0x0 3 --n0x1 0 --c0x1 1 --p0x1 0.77 --s1 0 --rwm1 25 --s2 2  --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.12 --n2x1 2 --c2x1 4 --w2x1 19.65 --p2x1 7 --s3 3  --n3 3 --n3x0 0 --c3x0 5 --p3x0 0.16 --n3x1 0 --c3x1 4 --w3x1 0.56 --p3x1 10 --n3x2 1 --c3x2 3 --w3x2 16.47 --p3x2 9 ,"[0.18558333333333332, 0.3]",15
12,1,--fsm-config --nstates 2 --s0 4 --att0 3.73 --s1 3  --n1 1 --n1x0 0 --c1x0 4 --w1x0 6.78 --p1x0 9 ,"[0.3232083333333333, 0.05]",15
11,0,--fsm-config --nstates 3 --s0 1  --n0 1 --n0x0 1 --c0x0 2 --p0x0 0.82 --s1 3  --s2 5 --rep2 3.49 --n2 1 --n2x0 0 --c2x0 5 --p2x0 0.25 ,"[0.3, 0.0]",15
31,1,--fsm-config --nstates 2 --s0 4 --att0 2.75 --n0 1 --n0x0 0 --c0x0 4 --w0x0 9.37 --p0x0 7 --s1 2  --n1 1 --n1x0 0 --c1x0 0 --p1x0 0.17 ,"[0.8185, 0.05]",15
10,5,--fsm-config --nstates 4 --s0 4 --att0 0.27 --s1 4 --att1 2.27 --n1 1 --n1x0 1 --c1x0 2 --p1x0 0.36 --s2 4 --att2 4.07 --n2 1 --n2x0 0 --c2x0 0 --p2x0 0.68 --s3 2  --n3 1 --n3x0 2 --c3x0 4 --w3x0 4.6 --p3x0 6 ,"[0.2657083333333333, 0.15]",15
23,0,--fsm-config --nstates 1 --s0 4 --att0 1.27 ,"[0.5915833333333333, 0.0]",15
0,3,--fsm-config --nstates 2 --s0 3  --n0 1 --n0x0 0 --c0x0 0 --p0x0 0.2 --s1 4 --att1 1.25 ,"[0.0015416666666666667, 0.1]",15
0,3,--fsm-config --nstates 2 --s0 3  --s1 3  ,"[0.012791666666666666, 0.1]",15
13,0,--fsm-config --nstates 4 --s0 1  --n0 1 --n0x0 2 --c0x0 2 --p0x0 0.89 --s1 0 --rwm1 30 --n1 3 --n1x0 1 --c1x0 3 --w1x0 15.69 --p1x0 2 --n1x1 0 --c1x1 5 --p1x1 0.32 --n1x2 0 --c1x2 0 --p1x2 0.58 --s2 1  --n2 2 --n2x0 0 --c2x0 0 --p2x0 0.34 --n2x1 0 --c2x1 2 --p2x1 0.07 --s3 0 --rwm3 3 ,"[0.3541666666666667, 0.0]",15
